t_s,true_range_m,est_range_m,bearing_deg,left_rad_s,right_rad_s,detected
0.0,1.2017678463125445,1.2142763533032437,0.0,1.2214145299548655,1.2214145299548655,1
0.032,1.2002549817640575,1.2062998368523143,0.003800006172144526,1.2095824005170717,1.2093171100398714,1
0.064,1.198720821680262,1.201215351394604,-0.0005134336705025081,1.2018051048758243,1.2018409493079876,1
0.096,1.197192182196949,1.2067064027024017,0.0,1.2100596040536025,1.2100596040536025,1
0.128,1.1956505601495229,1.2067064027024017,0.0,1.2100596040536025,1.2100596040536025,1
0.16,1.194107007662602,1.2067064027024017,0.0,1.2100596040536025,1.2100596040536025,1
0.192,1.1925623577828415,1.2067064027024017,0.0,1.2100596040536025,1.2100596040536025,1
0.224,1.191017013464741,1.1949759624352259,0.0,1.1924639436528388,1.1924639436528388,1
0.256,1.1894934454123902,1.1949759624352259,0.0,1.1924639436528388,1.1924639436528388,1
0.288,1.1879699724617394,1.1919408802259217,0.0,1.1879113203388825,1.1879113203388825,1
0.32,1.1864520388812054,1.1960321608179194,0.0,1.1940482412268791,1.1940482412268791,1
0.352,1.1849263225649345,1.1918243118407745,-0.00493433636782068,1.187564226929123,1.1879087085932005,1
0.384,1.1834083552032992,1.1890620378719612,0.0,1.1835930568079418,1.1835930568079418,1
0.416,1.181895709193215,1.1890620378719612,0.0,1.1835930568079418,1.1835930568079418,1
0.448,1.180383113217465,1.1852616499756303,0.0,1.1778924749634454,1.1778924749634454,1
0.48,1.1788776840179958,1.1852616499756303,0.0,1.1778924749634454,1.1778924749634454,1
0.512,1.1773723580733655,1.1803866326515353,0.0,1.170579948977303,1.170579948977303,1
0.544,1.1758762439281198,1.1803866326515353,0.0,1.170579948977303,1.170579948977303,1
0.576,1.1743802734224256,1.1852616499756303,0.0,1.1778924749634454,1.1778924749634454,1
0.608,1.1728750517640687,1.1852616499756303,0.0,1.1778924749634454,1.1778924749634454,1
0.64,1.1713696651408931,1.1732955113283758,0.0,1.1599432669925638,1.1599432669925638,1
0.672,1.1698869486766101,1.1732955113283758,0.0,1.1599432669925638,1.1599432669925638,1
