timestamp,ball_detected,ball_x,ball_y,ball_radius,estimated_distance,image_error,linear_velocity,angular_velocity,left_motor_velocity,right_motor_velocity,state
0.0,1,319.5,271.31817626953125,9.647821426391602,1.2142763533032437,0.0,1.4656974359458386,-0.0,1.4656974359458386,1.4656974359458386,IDLE
0.0,1,319.5,271.31817626953125,9.647821426391602,1.2142763533032437,0.0,1.4656974359458386,-0.0,1.4656974359458386,1.4656974359458386,IDLE
0.032,1,319.5,271.6428527832031,9.685454368591309,1.2095582688356197,0.0,1.4572048839041154,-0.0,1.4572048839041154,1.4572048839041154,IDLE
0.032,1,319.5,271.6428527832031,9.685454368591309,1.2095582688356197,0.0,1.4572048839041154,-0.0,1.4572048839041154,1.4572048839041154,IDLE
0.064,1,319.5,271.78570556640625,9.754745483398438,1.2009663849146666,0.0,1.4417394928463998,-0.0,1.4417394928463998,1.4417394928463998,IDLE
0.064,1,319.5,271.78570556640625,9.754745483398438,1.2009663849146666,0.0,1.4417394928463998,-0.0,1.4417394928463998,1.4417394928463998,IDLE
0.096,1,319.5,272.0,9.708344459533691,1.2067064027024017,0.0,1.452071524864323,-0.0,1.452071524864323,1.452071524864323,IDLE
0.096,1,319.5,272.0,9.708344459533691,1.2067064027024017,0.0,1.452071524864323,-0.0,1.452071524864323,1.452071524864323,IDLE
0.128,1,319.5,272.0,9.708344459533691,1.2067064027024017,0.0,1.452071524864323,-0.0,1.452071524864323,1.452071524864323,IDLE
0.128,1,319.5,272.0,9.708344459533691,1.2067064027024017,0.0,1.452071524864323,-0.0,1.452071524864323,1.452071524864323,IDLE
0.16,1,319.5,272.0,9.708344459533691,1.2067064027024017,0.0,1.452071524864323,-0.0,1.452071524864323,1.452071524864323,IDLE
0.16,1,319.5,272.0,9.708344459533691,1.2067064027024017,0.0,1.452071524864323,-0.0,1.452071524864323,1.452071524864323,IDLE
0.192,1,319.5,272.1153869628906,9.803646087646484,1.1949759624352259,0.0,1.4309567323834065,-0.0,1.4309567323834065,1.4309567323834065,IDLE
0.192,1,319.5,272.1153869628906,9.803646087646484,1.1949759624352259,0.0,1.4309567323834065,-0.0,1.4309567323834065,1.4309567323834065,IDLE
0.224,1,319.5,272.1666564941406,9.846128463745117,1.1898200863513493,0.0,1.4216761554324286,-0.0,1.4216761554324286,1.4216761554324286,IDLE
0.224,1,319.5,272.1666564941406,9.846128463745117,1.1898200863513493,0.0,1.4216761554324286,-0.0,1.4216761554324286,1.4216761554324286,IDLE
0.256,1,319.5,272.22222900390625,9.86413860321045,1.1876476892920798,0.0,1.4177658407257436,-0.0,1.4177658407257436,1.4177658407257436,IDLE
0.256,1,319.5,272.22222900390625,9.86413860321045,1.1876476892920798,0.0,1.4177658407257436,-0.0,1.4177658407257436,1.4177658407257436,IDLE
0.288,1,319.4495544433594,272.2935791015625,9.829570770263672,1.1918243118407745,-0.050445556640625,1.4252837613133942,0.0001894649152426115,1.4250942963981517,1.4254732262286367,IDLE
0.288,1,319.4495544433594,272.2935791015625,9.829570770263672,1.1918243118407745,-0.050445556640625,1.4252837613133942,0.0001894649152426115,1.4250942963981517,1.4254732262286367,IDLE
0.32,1,319.5,272.3888854980469,9.852405548095703,1.1890620378719612,0.0,1.42031166816953,-0.0,1.42031166816953,1.42031166816953,IDLE
0.32,1,319.5,272.3888854980469,9.852405548095703,1.1890620378719612,0.0,1.42031166816953,-0.0,1.42031166816953,1.42031166816953,IDLE
0.352,1,319.5,272.3888854980469,9.852405548095703,1.1890620378719612,0.0,1.42031166816953,-0.0,1.42031166816953,1.42031166816953,IDLE
0.352,1,319.5,272.3888854980469,9.852405548095703,1.1890620378719612,0.0,1.42031166816953,-0.0,1.42031166816953,1.42031166816953,IDLE
0.384,1,319.5,272.4375,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.384,1,319.5,272.4375,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.416,1,319.5,272.4375,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.416,1,319.5,272.4375,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.448,1,319.5,272.5,9.924817085266113,1.1803866326515353,0.0,1.4046959387727636,-0.0,1.4046959387727636,1.4046959387727636,IDLE
0.448,1,319.5,272.5,9.924817085266113,1.1803866326515353,0.0,1.4046959387727636,-0.0,1.4046959387727636,1.4046959387727636,IDLE
0.48,1,319.5,272.5625,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.48,1,319.5,272.5625,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.512,1,319.5,272.5625,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.512,1,319.5,272.5625,9.88399600982666,1.1852616499756303,0.0,1.4134709699561345,-0.0,1.4134709699561345,1.4134709699561345,IDLE
0.544,1,319.48236083984375,272.6588134765625,9.981642723083496,1.1736666743107689,-0.01763916015625,1.392600013759384,6.624968012574966e-05,1.392533764079258,1.3926662634395097,IDLE
0.544,1,319.48236083984375,272.6588134765625,9.981642723083496,1.1736666743107689,-0.01763916015625,1.392600013759384,6.624968012574966e-05,1.392533764079258,1.3926662634395097,IDLE
0.576,1,319.52630615234375,272.8157958984375,9.933854103088379,1.1793128122666436,0.02630615234375,1.4027630620799585,-9.880142603333105e-05,1.4028618635059917,1.4026642606539252,IDLE
0.576,1,319.52630615234375,272.8157958984375,9.933854103088379,1.1793128122666436,0.02630615234375,1.4027630620799585,-9.880142603333105e-05,1.4028618635059917,1.4026642606539252,IDLE
0.608,1,319.5,272.8333435058594,9.947192192077637,1.1777314836934698,0.0,1.3999166706482455,-0.0,1.3999166706482455,1.3999166706482455,IDLE
0.608,1,319.5,272.8333435058594,9.947192192077637,1.1777314836934698,0.0,1.3999166706482455,-0.0,1.3999166706482455,1.3999166706482455,IDLE
0.64,1,319.5,272.8846130371094,9.997879028320312,1.1717606690154048,0.0,1.3891692042277286,-0.0,1.3891692042277286,1.3891692042277286,IDLE
0.64,1,319.5,272.8846130371094,9.997879028320312,1.1717606690154048,0.0,1.3891692042277286,-0.0,1.3891692042277286,1.3891692042277286,IDLE
0.672,1,319.5,272.8846130371094,9.997879028320312,1.1717606690154048,0.0,1.3891692042277286,-0.0,1.3891692042277286,1.3891692042277286,IDLE
0.672,1,319.5,272.8846130371094,9.997879028320312,1.1717606690154048,0.0,1.3891692042277286,-0.0,1.3891692042277286,1.3891692042277286,IDLE
0.704,1,319.5,272.95001220703125,10.062518119812012,1.1642335724985065,0.0,1.3756204304973116,-0.0,1.3756204304973116,1.3756204304973116,IDLE
0.704,1,319.5,272.95001220703125,10.062518119812012,1.1642335724985065,0.0,1.3756204304973116,-0.0,1.3756204304973116,1.3756204304973116,IDLE
0.736,1,319.5,272.95001220703125,10.062518119812012,1.1642335724985065,0.0,1.3756204304973116,-0.0,1.3756204304973116,1.3756204304973116,IDLE
0.736,1,319.5,272.95001220703125,10.062518119812012,1.1642335724985065,0.0,1.3756204304973116,-0.0,1.3756204304973116,1.3756204304973116,IDLE
0.768,1,319.5,273.02630615234375,10.085942268371582,1.1615296922427407,0.0,1.3707534460369333,-0.0,1.3707534460369333,1.3707534460369333,IDLE
0.768,1,319.5,273.02630615234375,10.085942268371582,1.1615296922427407,0.0,1.3707534460369333,-0.0,1.3707534460369333,1.3707534460369333,IDLE
0.8,1,319.5,273.04998779296875,10.062542915344238,1.1642307036619401,0.0,1.3756152665914922,-0.0,1.3756152665914922,1.3756152665914922,IDLE
0.8,1,319.5,273.04998779296875,10.062542915344238,1.1642307036619401,0.0,1.3756152665914922,-0.0,1.3756152665914922,1.3756152665914922,IDLE
0.832,1,319.5,273.04998779296875,10.062542915344238,1.1642307036619401,0.0,1.3756152665914922,-0.0,1.3756152665914922,1.3756152665914922,IDLE
0.832,1,319.5,273.04998779296875,10.062542915344238,1.1642307036619401,0.0,1.3756152665914922,-0.0,1.3756152665914922,1.3756152665914922,IDLE
0.864,1,319.5,273.29998779296875,10.056946754455566,1.1648785366959908,0.0,1.3767813660527835,-0.0,1.3767813660527835,1.3767813660527835,IDLE
0.864,1,319.5,273.29998779296875,10.056946754455566,1.1648785366959908,0.0,1.3767813660527835,-0.0,1.3767813660527835,1.3767813660527835,IDLE
0.896,1,319.5,273.31817626953125,10.062917709350586,1.1641873418157698,0.0,1.3755372152683856,-0.0,1.3755372152683856,1.3755372152683856,IDLE
0.896,1,319.5,273.31817626953125,10.062917709350586,1.1641873418157698,0.0,1.3755372152683856,-0.0,1.3755372152683856,1.3755372152683856,IDLE
0.928,1,319.5,273.31817626953125,10.062917709350586,1.1641873418157698,0.0,1.3755372152683856,-0.0,1.3755372152683856,1.3755372152683856,IDLE
0.928,1,319.5,273.31817626953125,10.062917709350586,1.1641873418157698,0.0,1.3755372152683856,-0.0,1.3755372152683856,1.3755372152683856,IDLE
0.96,1,319.5,273.5,10.12432861328125,1.157125757809917,0.0,1.3628263640578506,-0.0,1.3628263640578506,1.3628263640578506,IDLE
0.96,1,319.5,273.5,10.12432861328125,1.157125757809917,0.0,1.3628263640578506,-0.0,1.3628263640578506,1.3628263640578506,IDLE
